# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.4 on 2021-03-23 at 16:44:27
#
# Requested input R.A. = 239.63328 degrees
# Requested input Dec. = 27.473377 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460000.0 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 632 11 1 ZTF_g 449419544115 0 2.5286 80.7044 5.89962 26.2559 7.4898e-06 0.0299875 -0.0209183 1.42337e-05 716 30. 0.055381 0.070265 20.5525 26.2559 1 2458203.9195486 632120141 -79.1129090034526 32.8365575398544 -2.68006010521835 0.964386761368239 -48.5037111031974 54.0228401676836 -0.903884102290207 1.11471624105921 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 1 632 11 1 ZTF_g 452409504115 0 2.0695 86.8241 12.0429 26.3456 1.09333e-05 0.0347284 -0.0307831 2.27794e-05 677 30. 0.052995 0.059288 19.8103 26.3456 1 2458206.9095023 632120141 66.030653489152 59.4183134828192 1.23617534003696 0.963887858438251 63.1675275534499 104.441189662038 0.60888778356165 1.07783797588796 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 2 632 11 1 ZTF_g 452507234115 0 2.212 80.2838 9.93522 26.2525 9.7532e-06 0.033 -0.0194707 2.02635e-05 676 30. 0.057397 0.069144 20.0181 26.2525 1 2458207.0072338 632120141 -61.5128873045574 47.7710093329442 -1.43237422086056 1.1149566369601 3.67138221216145 80.4296932311044 0.0459545353725608 1.09602485255909 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 3 632 11 1 ZTF_g 456410474115 0 2.2476 83.7502 15.2495 26.3031 1.84575e-05 0.0405349 -0.0121316 4.45425e-05 555 30. 0.054342 0.063597 19.4688 26.3031 1 2458210.9104745 632120141 22.7847460238482 79.4129264414381 0.319159512165795 1.05522702693683 191.37499821008 129.253939758805 1.49058450514769 1.1120652765505 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 4 632 11 1 ZTF_g 456429284115 0 2.2707 86.5629 14.6889 26.3314 1.62203e-05 0.0379156 -0.0114265 3.86595e-05 562 30. 0.052221 0.071729 19.5374 26.3314 1 2458210.9292824 632120141 -19.8966761057541 85.6024510843494 -0.258552732018144 0.936443724447688 95.4952346377667 137.364841213281 0.699876327073325 1.12256845970545 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 5 632 11 1 ZTF_r 462365304115 0 2.8506 161.297 5.37341 26.2869 4.5898e-06 0.0233414 0.116057 8.57479e-06 717 30. 0.066035 0.071612 20.4327 26.2869 1 2458216.8653009 632120241 -42.9630152331082 38.5587663969825 -1.23944261280415 0.998579851265677 7.85779286964024 57.0022243489 0.138779067783297 1.14276301219708 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 6 632 11 1 ZTF_r 464428994115 0 2.4049 166.496 5.76958 26.3085 4.1333e-06 0.0222667 0.112742 7.72405e-06 716 30. 0.059312 0.06489 20.6202 26.3085 2 2458218.9289931 632120241 -34.1041839372141 33.5812616090971 -1.12970605114169 1.13785228302347 83.8860055251364 54.2147766511471 1.5577115283926 1.11612152704245 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 7 632 11 1 ZTF_r 465381414115 0 2.2936 172.048 5.50158 26.3513 3.7434e-06 0.0211675 0.115426 6.97946e-06 718 30. 0.059697 0.068299 20.6208 26.3513 1 2458219.881412 632120241 75.2249561778277 37.4336192660415 2.23539834799232 1.06325511455075 147.877173867414 57.8940100856892 2.57147734145835 1.13206628865572 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 8 632 11 1 ZTF_r 465402734115 0 2.2064 166.471 5.71495 26.3179 5.1942e-06 0.0248639 0.121636 9.74531e-06 717 30. 0.06184 0.08419 20.5752 26.3179 1 2458219.9027315 632120241 -49.3675824850881 38.5934910596828 -1.42292692129511 1.44568528727509 31.306033845821 58.1058795331613 0.542404349407973 1.16023383517015 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 9 632 11 1 ZTF_r 465422914115 0 2.5676 163.457 5.99578 26.2813 5.3947e-06 0.0253916 0.111846 1.01571e-05 715 30. 0.068528 0.086452 20.4077 26.2813 2 2458219.9229167 632120241 -130.602262024506 43.8951789775361 -3.30970035019437 1.22409823097661 25.8222030665857 66.0339675249718 0.393677951882665 1.17010676334233 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 10 632 11 1 ZTF_r 468386904115 0 2.6322 164.813 5.90302 26.3129 4.5415e-06 0.0232514 0.112728 8.53141e-06 715 30. 0.059984 0.057416 20.4293 26.3129 1 2458222.8869097 632120241 -0.81391987098855 37.3391560788307 -0.0242477784089377 1.04840103336629 -20.7699649655294 57.8691930588266 -0.361329591261355 1.11102435832495 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 11 632 11 1 ZTF_r 468454084115 0 2.4655 166.472 5.95013 26.3071 3.9219e-06 0.0216462 0.120538 7.29349e-06 722 30. 0.056776 0.063652 20.5281 26.3071 1 2458222.9540856 632120241 -56.1250297148676 33.938465218868 -1.83958214849242 1.11419304309869 -35.8605289617692 54.348683946542 -0.664267265847124 1.11001074394878 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 12 632 11 1 ZTF_r 468508154115 0 2.7239 164.362 6.83395 26.3082 5.2294e-06 0.0250438 0.114661 9.81956e-06 720 30. 0.056736 0.066743 20.2291 26.3082 2 2458223.0081597 632120241 0.988127270712663 41.9775886017691 0.0261848565737323 1.05548991080446 10.7947581625166 64.3029042408219 0.16900420918963 1.11787623669599 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 13 632 11 1 ZTF_r 472378004115 0 2.186 168.409 5.77579 26.3258 3.7866e-06 0.0212073 0.111265 7.07717e-06 715 30. 0.053502 0.061299 20.6575 26.3258 1 2458226.8780093 632120241 -77.7033175589642 30.4750770691218 -2.83628292213928 1.08550912787371 -99.3172073941932 50.1266335411946 -1.99467044636121 1.09909775636199 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 14 632 11 1 ZTF_r 472460274115 0 2.3359 166.041 5.92658 26.3068 4.1622e-06 0.0223244 0.114888 7.76357e-06 722 30. 0.048345 0.062218 20.6206 26.3068 1 2458226.9602778 632120241 -47.985025213994 33.2203740076533 -1.60677849613189 1.08863555842281 -111.137425112676 54.7170578448864 -2.04480917783024 1.10701881000719 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
